names,pred
2021-06-27_22_07_39.623_3177_1463.png,coscinodiscus
2021-06-18_10_30_34.364_2780_1233.png,coscinodiscus
2021-06-27_18_38_08.960_1344_925.png,coscinodiscus
2021-06-14_11_43_55.044_462_1893.png,coscinodiscus
2021-06-25_14_00_14.379_3674_194.png,coscinodiscus
2021-06-29_21_44_37.103_366_75.png,coscinodiscus
2021-06-28_17_41_20.880_776_2467.png,coscinodiscus
2021-06-18_22_31_03.294_98_1883.png,coscinodiscus
2021-06-29_16_14_43.364_834_349.png,coscinodiscus
2021-06-10_23_18_07.442_2744_1223.png,coscinodiscus
2021-06-27_13_35_47.986_3450_806.png,coscinodiscus
2021-06-30_19_27_03.820_1790_816.png,coscinodiscus
2021-06-25_17_29_07.021_2240_1136.png,coscinodiscus
2021-06-29_09_43_27.250_877_1367.png,coscinodiscus
2021-06-20_04_36_00.134_933_719.png,coscinodiscus
2021-06-29_05_43_05.084_2168_2079.png,coscinodiscus
2021-06-30_13_23_59.894_2625_1997.png,coscinodiscus
2021-06-19_08_03_39.767_2692_606.png,coscinodiscus
2021-06-15_01_46_18.773_23_697.png,coscinodiscus
2021-06-29_07_43_19.732_3946_1449.png,coscinodiscus
2021-06-18_05_28_41.573_1133_458.png,compl_rhizosolenia_proboscia
2021-06-21_01_11_32.297_1030_237.png,coscinodiscus
2021-06-29_22_45_58.277_3863_1896.png,coscinodiscus
2021-06-28_08_08_33.976_1672_2481.png,coscinodiscus
2021-06-25_13_29_10.334_204_56.png,coscinodiscus
2021-06-28_01_37_10.911_3507_2887.png,coscinodiscus
2021-06-26_17_32_19.381_3611_61.png,coscinodiscus
2021-06-23_18_53_32.573_99_453.png,coscinodiscus
2021-06-17_12_27_56.535_3235_1811.png,coscinodiscus
2021-06-20_21_39_54.661_1100_261.png,sombra
2021-06-28_12_09_43.417_2943_396.png,coscinodiscus
2021-06-29_02_12_18.000_3897_1133.png,coscinodiscus
2021-06-27_15_37_48.879_88_1239.png,coscinodiscus
2021-06-13_06_34_17.413_140_778.png,coscinodiscus
2021-06-30_00_45_23.820_2893_1676.png,coscinodiscus
2021-06-26_05_02_01.268_309_775.png,coscinodiscus
2021-06-27_08_37_13.678_1026_1044.png,coscinodiscus
2021-06-28_14_41_29.158_3271_809.png,coscinodiscus
2021-06-26_06_30_45.295_1628_1366.png,coscinodiscus
2021-06-12_08_30_52.050_165_205.png,coscinodiscus
2021-06-29_11_13_07.861_1565_1043.png,coscinodiscus
2021-06-14_22_46_28.781_2791_1045.png,coscinodiscus
2021-06-18_21_01_49.425_3174_2323.png,coscinodiscus
2021-06-29_02_12_26.003_2462_2458.png,coscinodiscus
2021-06-29_08_43_36.992_3506_536.png,coscinodiscus
2021-06-19_01_03_46.789_574_2511.png,coscinodiscus
2021-06-29_13_44_20.848_3802_229.png,coscinodiscus
2021-06-16_07_51_43.653_2058_2147.png,coscinodiscus
2021-06-27_00_33_43.087_2345_356.png,coscinodiscus
2021-06-20_10_08_12.032_75_1347.png,coscinodiscus
2021-06-24_11_54_32.381_2620_1989.png,coscinodiscus
2021-06-23_11_51_07.030_1375_2716.png,coscinodiscus
2021-06-14_19_43_28.034_3730_623.png,coscinodiscus
2021-06-17_06_26_13.766_1841_1560.png,coscinodiscus
2021-06-28_11_39_04.090_438_1745.png,sombra
2021-06-26_06_30_33.283_2654_1111.png,coscinodiscus
2021-06-22_22_18_26.906_1671_1399.png,coscinodiscus
2021-06-10_19_20_39.068_902_2425.png,coscinodiscus
2021-06-15_01_45_11.727_1677_1530.png,coscinodiscus
2021-06-19_13_35_53.792_3567_2061.png,coscinodiscus
2021-06-24_03_55_13.213_2121_1080.png,hemidiscus
2021-06-27_17_38_00.134_3438_1542.png,coscinodiscus
2021-06-20_07_37_20.590_328_1626.png,coscinodiscus
2021-06-19_10_04_55.069_446_2734.png,coscinodiscus
2021-06-18_09_00_50.270_95_208.png,sombra
